2018-10-25 00:12:19.383502

Permutation: 1 2 3 4 5 	 Count: 96
Permutation: 1 2 3 5 4 	 Count: 77
Permutation: 1 2 4 3 5 	 Count: 59
Permutation: 1 2 4 5 3 	 Count: 45
Permutation: 1 2 5 3 4 	 Count: 37
Permutation: 1 2 5 4 3 	 Count: 21
Permutation: 1 3 2 4 5 	 Count: 53
Permutation: 1 3 2 5 4 	 Count: 24
Permutation: 1 3 4 2 5 	 Count: 18
Permutation: 1 3 4 5 2 	 Count: 14
Permutation: 1 3 5 2 4 	 Count: 12
Permutation: 1 3 5 4 2 	 Count: 12
Permutation: 1 4 2 3 5 	 Count: 16
Permutation: 1 4 2 5 3 	 Count: 18
Permutation: 1 4 3 2 5 	 Count: 17
Permutation: 1 4 3 5 2 	 Count: 6
Permutation: 1 4 5 2 3 	 Count: 11
Permutation: 1 4 5 3 2 	 Count: 6
Permutation: 1 5 2 3 4 	 Count: 20
Permutation: 1 5 2 4 3 	 Count: 14
Permutation: 1 5 3 2 4 	 Count: 7
Permutation: 1 5 3 4 2 	 Count: 4
Permutation: 1 5 4 2 3 	 Count: 6
Permutation: 1 5 4 3 2 	 Count: 4
Permutation: 2 1 3 4 5 	 Count: 32
Permutation: 2 1 3 5 4 	 Count: 20
Permutation: 2 1 4 3 5 	 Count: 12
Permutation: 2 1 4 5 3 	 Count: 10
Permutation: 2 1 5 3 4 	 Count: 16
Permutation: 2 1 5 4 3 	 Count: 13
Permutation: 2 3 1 4 5 	 Count: 15
Permutation: 2 3 1 5 4 	 Count: 7
Permutation: 2 3 4 1 5 	 Count: 11
Permutation: 2 3 4 5 1 	 Count: 7
Permutation: 2 3 5 1 4 	 Count: 7
Permutation: 2 3 5 4 1 	 Count: 4
Permutation: 2 4 1 3 5 	 Count: 11
Permutation: 2 4 1 5 3 	 Count: 5
Permutation: 2 4 3 1 5 	 Count: 4
Permutation: 2 4 3 5 1 	 Count: 7
Permutation: 2 4 5 1 3 	 Count: 4
Permutation: 2 4 5 3 1 	 Count: 1
Permutation: 2 5 1 3 4 	 Count: 5
Permutation: 2 5 1 4 3 	 Count: 5
Permutation: 2 5 3 1 4 	 Count: 1
Permutation: 2 5 3 4 1 	 Count: 2
Permutation: 2 5 4 1 3 	 Count: 3
Permutation: 2 5 4 3 1 	 Count: 1
Permutation: 3 1 2 4 5 	 Count: 17
Permutation: 3 1 2 5 4 	 Count: 17
Permutation: 3 1 4 2 5 	 Count: 9
Permutation: 3 1 4 5 2 	 Count: 3
Permutation: 3 1 5 2 4 	 Count: 7
Permutation: 3 1 5 4 2 	 Count: 2
Permutation: 3 2 1 4 5 	 Count: 10
Permutation: 3 2 1 5 4 	 Count: 6
Permutation: 3 2 4 1 5 	 Count: 1
Permutation: 3 2 4 5 1 	 Count: 3
Permutation: 3 2 5 1 4 	 Count: 4
Permutation: 3 4 1 2 5 	 Count: 3
Permutation: 3 4 1 5 2 	 Count: 2
Permutation: 3 4 2 1 5 	 Count: 5
Permutation: 3 4 2 5 1 	 Count: 2
Permutation: 3 4 5 1 2 	 Count: 1
Permutation: 3 4 5 2 1 	 Count: 1
Permutation: 3 5 1 2 4 	 Count: 1
Permutation: 3 5 1 4 2 	 Count: 3
Permutation: 3 5 2 1 4 	 Count: 3
Permutation: 4 1 2 3 5 	 Count: 17
Permutation: 4 1 2 5 3 	 Count: 6
Permutation: 4 1 3 2 5 	 Count: 4
Permutation: 4 1 3 5 2 	 Count: 2
Permutation: 4 1 5 2 3 	 Count: 6
Permutation: 4 1 5 3 2 	 Count: 2
Permutation: 4 2 1 3 5 	 Count: 5
Permutation: 4 2 1 5 3 	 Count: 1
Permutation: 4 2 3 1 5 	 Count: 1
Permutation: 4 2 3 5 1 	 Count: 1
Permutation: 4 2 5 1 3 	 Count: 1
Permutation: 4 3 1 2 5 	 Count: 2
Permutation: 4 3 1 5 2 	 Count: 1
Permutation: 4 3 2 1 5 	 Count: 1
Permutation: 4 3 2 5 1 	 Count: 1
Permutation: 4 3 5 1 2 	 Count: 2
Permutation: 4 3 5 2 1 	 Count: 1
Permutation: 4 5 1 2 3 	 Count: 2
Permutation: 4 5 2 1 3 	 Count: 1
Permutation: 4 5 3 1 2 	 Count: 2
Permutation: 5 1 2 3 4 	 Count: 9
Permutation: 5 1 2 4 3 	 Count: 9
Permutation: 5 1 3 2 4 	 Count: 5
Permutation: 5 1 3 4 2 	 Count: 4
Permutation: 5 1 4 3 2 	 Count: 1
Permutation: 5 2 1 3 4 	 Count: 2
Permutation: 5 2 1 4 3 	 Count: 3
Permutation: 5 2 3 1 4 	 Count: 2
Permutation: 5 2 4 3 1 	 Count: 1
Permutation: 5 3 1 2 4 	 Count: 1
Permutation: 5 3 1 4 2 	 Count: 1
Permutation: 5 3 4 2 1 	 Count: 1
Permutation: 5 4 2 3 1 	 Count: 1
Permutation: 5 4 3 1 2 	 Count: 1
