2018-10-25 00:17:16.607672

Experiment Configuration 
 {'optimization': 'optimizations.Unweighted', 'optimization_params': {}, 'heuristic': 'heuristics.No_Heuristic', 'heuristic_params': {}, 'weight': 'rankobjects.Arithmetic', 'data_file': 'data/simulated/sim_5_1000.csv'} 

Unweighted max log likelihood for [1 2 3 4 5] is -4158.971746
Unweighted max log likelihood for [1 2 3 5 4] is -4346.971746
Unweighted max log likelihood for [1 2 4 3 5] is -4410.971746
Unweighted max log likelihood for [1 2 4 5 3] is -4768.971746
Unweighted max log likelihood for [1 2 5 3 4] is -4704.971746
Unweighted max log likelihood for [1 2 5 4 3] is -4956.971746
Unweighted max log likelihood for [1 3 2 4 5] is -4540.971746
Unweighted max log likelihood for [1 3 2 5 4] is -4728.971746
Unweighted max log likelihood for [1 3 4 2 5] is -5078.971746
Unweighted max log likelihood for [1 3 4 5 2] is -5680.971746
Unweighted max log likelihood for [1 3 5 2 4] is -5330.971746
Unweighted max log likelihood for [1 3 5 4 2] is -5868.971746
Unweighted max log likelihood for [1 4 2 3 5] is -4948.971746
Unweighted max log likelihood for [1 4 2 5 3] is -5306.971746
Unweighted max log likelihood for [1 4 3 2 5] is -5330.971746
Unweighted max log likelihood for [1 4 3 5 2] is -5932.971746
Unweighted max log likelihood for [1 4 5 2 3] is -5908.971746
Unweighted max log likelihood for [1 4 5 3 2] is -6290.971746
Unweighted max log likelihood for [1 5 2 3 4] is -5306.971746
Unweighted max log likelihood for [1 5 2 4 3] is -5558.971746
Unweighted max log likelihood for [1 5 3 2 4] is -5688.971746
Unweighted max log likelihood for [1 5 3 4 2] is -6226.971746
Unweighted max log likelihood for [1 5 4 2 3] is -6096.971746
Unweighted max log likelihood for [1 5 4 3 2] is -6478.971746
Unweighted max log likelihood for [2 1 3 4 5] is -4636.971746
Unweighted max log likelihood for [2 1 3 5 4] is -4824.971746
Unweighted max log likelihood for [2 1 4 3 5] is -4888.971746
Unweighted max log likelihood for [2 1 4 5 3] is -5246.971746
Unweighted max log likelihood for [2 1 5 3 4] is -5182.971746
Unweighted max log likelihood for [2 1 5 4 3] is -5434.971746
Unweighted max log likelihood for [2 3 1 4 5] is -5262.971746
